word,kuperman,wordbank,predicted,aoa
dog,33.599999999999994,15,17.842943274911697,15
bird,42.24,18,19.989270834187284,18
cat,44.160000000000004,18,20.466232514026302,18
duck,42,18,19.929650624207405,18
fly,36.599999999999994,NA,18.588195899660164,18.588195899660164
fish,48.599999999999994,19,21.569206398654032,19
spider,41.160000000000004,NA,19.720979889277835,19.720979889277835
bear,42.96,20,20.168131464126915,20
cow,47.28,20,21.24129524376471,20
horse,49.800000000000004,21,21.867307448553422,21
pig,46.08,21,20.94319419386532,21
rabbit,47.28,21,21.24129524376471,21
bee,60,22,24.401166372698206,22
monkey,50.519999999999996,22,22.046168078493054,22
butterfly,44.04,23,20.436422409036364,23
chicken,39.12,23,19.21420810444888,23
elephant,57.599999999999994,23,23.804964272899433,23
lion,53.04,23,22.67218028328176,23
mouse,59.28,23,24.222305742758575,23
sheep,51,23,22.165408498452805,23
owl,74.52,24,28.008189076480782,24
tiger,48,24,21.42015587370434,24
fox,60.209712,NA,24.453262512178625,24.453262512178625
snake,61.199999999999996,NA,24.699267422597593,24.699267422597593
camel,61.32000000000001,NA,24.729077527587535,24.729077527587535
caterpillar,62.04,NA,24.907938157527163,24.907938157527163
ant,51.84,25,22.37407923338238,25
giraffe,60,25,24.401166372698206,25
squirrel,53.28,25,22.731800493261645,25
zebra,57.480000000000004,25,23.7751541679095,25
goat,62.519999999999996,NA,25.027178577486918,25.027178577486918
skunk,63.84,NA,25.355089732376246,25.355089732376246
seal,65.03999999999999,NA,25.65319078227563,25.65319078227563
alligator,57.36,26,23.745344062919557,26
kangaroo,66.6,NA,26.040722147144834,26.040722147144834
gorilla,68.88,NA,26.607114141953666,26.607114141953666
peacock,69.161592,NA,26.67706653432306,26.67706653432306
grasshopper,69.36,NA,26.726354561913425,26.726354561913425
snail,69.48,NA,26.756164666903366,26.756164666903366
eagle,69.96000000000001,NA,26.87540508686312,26.87540508686312
seahorse,69.96000000000001,NA,26.87540508686312,26.87540508686312
deer,62.04,27,24.907938157527163,27
penguin,68.16,27,26.428253512014038,27
rhinoceros,72,NA,27.382176871692074,27.382176871692074
rooster,76.92,28,28.604391176279563,28
swan,75.81156000000001,NA,28.3290352364875,28.3290352364875
ostrich,77.03999999999999,NA,28.634201281269497,28.634201281269497
donkey,72,29,27.382176871692074,29
raccoon,81.48,NA,29.737175165897227,29.737175165897227
leopard,82.08,NA,29.88622569084692,29.88622569084692
lobster,89.28,NA,31.67483199024324,31.67483199024324
