subj,trial_type,trial,phase,appearance,trial_target,target,utterance,length,num_descriptors,num_canonical,num_animal_sounds,num_anaphoric,num_comparison,num_subordinate,num_superordinate
1,practice,1,post,first,apple,apple,"touch the apple , touch the apple",6,0,2,0,2,0,0,0
1,practice,1,post,first,apple,apple,NA,0,0,0,0,0,0,0,0
1,practice,1,post,first,apple,apple,way to go !,3,0,0,0,0,0,0,0
1,practice,2,pre,first,artichoke,artichoke,"ok , touch the artichoke !",4,0,1,0,1,0,0,0
1,practice,2,post,first,artichoke,artichoke,awesome,1,0,0,0,0,0,0,0
1,practice,3,pre,second,apple,apple,find the apple,3,0,1,0,1,0,0,0
1,practice,3,post,second,apple,apple,you did it ! that's the apple !,6,0,1,0,1,0,0,0
1,practice,4,pre,second,artichoke,artichoke,hm now,2,0,0,0,0,0,0,0
1,practice,4,post,second,artichoke,artichoke,"that's an onion , the artichoke was over there !",8,0,1,0,1,0,0,0
1,practice,4,post,second,artichoke,NA,"ok , stop touch it , just wait a second , ok let's see",11,0,0,0,0,0,0,0
1,game,5,pre,first,bird,bird,"touch the birdie , touch the bird",6,0,2,0,2,0,0,0
1,game,5,post,first,bird,bird,did you hear it tweet tweet tweet ?,7,0,0,3,0,0,0,0
1,game,6,pre,first,peacock,peacock,"oh , touch the peacock , that's the bird in the middle that's blue and green",14,2,1,0,1,0,0,1
1,game,6,post,first,peacock,peacock,"oh , that's the squirrel !",4,0,0,0,0,0,0,0
1,game,7,pre,first,cow,cow,"alright , touch the cow , moooo",5,0,1,1,1,0,0,0
1,game,7,post,first,cow,cow,"there's the cow , you got it !",6,0,1,0,1,0,0,0
1,game,8,pre,first,squirrel,squirrel,"oh , find the squirrel",4,0,1,0,1,0,0,0
1,game,8,post,first,squirrel,squirrel,"oh , that's a raccoon",4,0,0,0,0,0,0,0
1,game,8,post,first,squirrel,NA,"ok , wait wait wait for momma",6,0,0,0,0,0,0,0
1,game,9,pre,first,pig,pig,touch the piggie,3,0,1,0,1,0,0,0
1,game,9,post,first,pig,pig,did you hear it ? oink oink,6,0,0,2,0,0,0,0
1,game,10,pre,second,squirrel,squirrel,"oh , find the squirrel , it's got a bushy tail and it's brown",12,0,0,0,0,0,0,0
1,game,10,post,second,squirrel,squirrel,that's a squirrel !,3,0,1,0,0,0,0,0
1,game,11,pre,second,pig,pig,"let's find the piggie , pig !",5,0,2,0,1,0,0,0
1,game,11,post,second,pig,pig,oink oink oink oink,4,0,0,4,0,0,0,0
1,game,12,pre,first,rooster,rooster,where's a rooster,3,0,1,0,0,0,0,0
1,game,12,post,first,rooster,rooster,"you actually touched the xxx , sorry",6,0,0,0,0,0,0,0
1,game,13,pre,first,cat,cat,"find the kitty cat , cat",5,0,3,0,1,0,0,0
1,game,13,post,first,cat,cat,"oh , you touched the doggie !",5,0,0,0,0,0,0,0
1,game,13,post,first,cat,NA,"hold on , wait for momma",5,0,0,0,0,0,0,0
1,game,14,pre,first,rhinoceros,rhinoceros,which one's the rhinoceros ?,4,0,1,0,1,0,0,0
1,game,14,post,first,rhinoceros,rhinoceros,"that's the donkey , the rhino has the horn",8,0,1,0,1,0,0,0
1,game,15,pre,first,horse,horse,find the horse,3,0,1,0,1,0,0,0
1,game,15,post,first,horse,horse,neigh,1,0,0,1,0,0,0,0
1,game,16,pre,first,donkey,donkey,"ok , now find the donkey , it looks like a little horse",11,0,1,0,0,1,0,0
1,game,16,post,first,donkey,donkey,"oh , that's the rhinoceros",4,0,0,0,0,0,0,0
1,game,17,pre,second,cat,cat,"alright let's find the cat , meow , cat",7,0,2,1,1,0,0,0
1,game,17,post,second,cat,cat,"oh , that's the birdie !",4,0,0,0,0,0,0,0
1,game,18,pre,second,rhinoceros,rhinoceros,"ok , find the rhinoceros , it has horns",7,0,1,0,1,0,0,0
1,game,18,post,second,rhinoceros,rhinoceros,yeah ! did you hear that ?,5,0,0,0,0,0,0,0
1,game,18,post,second,rhinoceros,NA,"now wait for me , wait for me",7,0,0,0,0,0,0,0
1,game,19,pre,first,elephant,elephant,which one is the elephant ?,5,0,1,0,1,0,0,0
1,game,19,post,first,elephant,elephant,"that's a duck , you're just touching them all , there was the elephant",12,0,1,0,1,0,0,0
1,game,20,pre,first,swan,swan,"ok , yyy , don't touch anything except for the white bird , the swan , touch the swan",15,1,2,0,3,0,0,1
1,game,20,pre,first,swan,swan,"yes , a screen . touch the swan",6,0,1,0,1,0,0,0
1,game,20,pre,first,swan,swan,"oh , green and blue . find the swan , it's white",9,1,1,0,1,0,0,0
1,game,20,pre,first,swan,swan,there's the swan . it's like a duck almost,8,0,1,0,1,1,0,0
1,game,20,post,first,swan,swan,it swims in the water,5,0,0,0,0,0,0,0
1,game,21,pre,first,duck,duck,"oh , find the duck ! where's the duckie ?",7,0,2,0,2,0,0,0
1,game,21,post,first,duck,duck,you got it ! quack quack quack,6,0,0,3,0,0,0,0
1,game,22,pre,first,leopard,leopard,"oh , now it's time to find the leopard , it's like a cat , it goes rawr",15,0,1,1,1,1,0,0
1,game,22,post,first,leopard,leopard,"that's it , that's the leopard !",5,0,1,0,1,0,0,0
1,game,23,pre,first,fish,fish,"oh , find the fish , touch the fish",7,0,0,0,0,0,0,0
1,game,24,pre,second,rooster,rooster,"find the rooster , cocka-doodle-doo",4,0,1,1,1,0,0,0
1,game,24,post,second,rooster,rooster,roosters are loud !,3,1,1,0,0,0,0,0
1,game,25,pre,second,duck,duck,"duck , find the duck , which one's the duck ?",8,0,3,0,2,0,0,0
1,game,25,post,second,duck,duck,"you did it , yyy , way to go !",7,0,0,0,0,0,0,0
1,game,26,pre,first,lobster,lobster,"now this one's funny . find the lobster , it's red and it has claws",13,1,1,0,1,0,0,0
1,game,26,post,first,lobster,lobster,"you got it , that's the lobster ! it lives in the ocean",11,0,1,0,1,0,0,0
1,game,27,pre,second,cow,cow,"find the cow , where's the cow ?",6,0,2,0,2,0,0,0
1,game,27,post,second,cow,cow,you did it !,3,0,0,0,0,0,0,0
1,game,27,post,second,cow,cow,moo !,1,0,0,1,0,0,0,0
1,game,28,pre,second,leopard,leopard,"find the leopard , it's like a cat , rawr",8,0,1,1,1,1,0,0
1,game,28,post,second,leopard,leopard,"oh , nice",2,0,0,0,0,0,0,0
1,game,29,pre,second,bird,bird,"find the bird , yyy , where's the birdie ?",7,0,2,0,2,0,0,0
1,game,29,post,second,bird,bird,you found the bird !,4,0,1,0,1,0,0,0
1,game,30,pre,second,lobster,lobster,where's the lobster ?,3,0,1,0,1,0,0,0
1,game,30,post,second,lobster,lobster,you found it right away !,5,0,0,0,0,0,0,0
1,game,30,post,second,lobster,lobster,glub glub,2,0,0,2,0,0,0,0
1,game,31,pre,second,fish,fish,where's the fish ?,3,0,1,0,1,0,0,0
1,game,31,post,second,fish,fish,another sea creature ! fish,4,0,1,0,0,0,0,0
1,game,32,pre,second,peacock,peacock,"peacock , do you know what a peacock is ? it's a bir . it's big and blue",15,2,2,0,0,0,0,0
1,game,32,post,second,peacock,peacock,that's a raccoon,3,0,1,0,0,0,0,0
1,game,33,pre,first,dog,dog,"find the doggie , where's the doggie ?",6,0,2,0,2,0,0,0
1,game,33,post,first,dog,dog,woof woof,2,0,0,2,0,0,0,0
1,game,34,pre,second,swan,swan,"the swan , touch the swan , it's a white bird",9,1,2,0,1,0,0,1
1,game,34,post,second,swan,swan,"oh , that's the leopard",4,0,0,0,0,0,0,0
1,game,35,pre,second,elephant,elephant,"ok , find the elephant",4,0,1,0,1,0,0,0
1,game,35,post,second,elephant,elephant,"you got it , wooh !",4,0,0,0,0,0,0,0
1,game,36,pre,second,donkey,donkey,"find the donkey , it's like a little horse",8,0,1,0,1,1,0,0
1,game,36,post,second,donkey,donkey,that's a donkey ! hee-haw,4,0,1,1,0,0,0,0
1,game,37,pre,second,dog,dog,"find a doggie , the dog",5,0,2,0,1,0,0,0
1,game,37,post,second,dog,NA,"yeah , there's the tree !",4,0,0,0,0,0,0,0
1,game,38,pre,first,raccoon,raccoon,where's the raccoon ?,3,0,0,0,0,0,0,0
1,game,38,post,first,raccoon,raccoon,"the raccoon has a striped tail , that's the raccoon",9,1,2,0,2,0,0,0
1,game,39,pre,second,horse,horse,where's the horse ?,3,0,1,0,1,0,0,0
1,game,39,post,second,horse,horse,there's the horsie !,3,0,1,0,1,0,0,0
1,game,39,post,second,horse,horse,neigh,1,0,0,1,0,0,0,0
1,game,40,pre,second,raccoon,raccoon,where's the raccoon ? it has a striped tail,8,1,1,0,1,0,0,0
1,game,40,post,second,raccoon,raccoon,"there's the squirrel , there's the raccoon",6,0,0,0,0,0,0,0
2,practice,1,pre,first,apple,apple,OK . Touch--,2,0,0,0,0,0,0,0
2,practice,1,post,first,apple,NA,"OK now-- very good , but look at Mommy . Wait for Mommy to tell you which one , OK ?",17,0,0,0,0,0,0,0
2,practice,2,pre,first,artichoke,artichoke,Where is the artichoke ? Is there one that is green ?,10,1,1,0,1,0,0,0
2,practice,2,post,first,artichoke,artichoke,Good,1,0,0,0,0,0,0,0
2,practice,2,post,first,artichoke,NA,"OK wait a minute , wait for Mommy",7,0,0,0,0,0,0,0
2,practice,3,pre,second,apple,apple,Where's the apple ?,3,0,1,0,1,0,0,0
2,practice,3,post,second,apple,apple,Good job !,2,0,0,0,0,0,0,0
2,practice,3,post,second,apple,NA,OK wait for Mommy,4,0,0,0,0,0,0,0
2,practice,4,pre,second,artichoke,artichoke,Where's the artichoke again ? The artichoke is-- no no no ! The artichoke is green,14,1,3,0,3,0,0,0
2,practice,4,post,second,artichoke,artichoke,Good,1,0,0,0,0,0,0,0
2,game,5,pre,first,donkey,donkey,Where's the donkey ?,3,0,1,0,1,0,0,0
2,game,5,pre,first,donkey,donkey,Donkey,1,0,1,0,0,0,0,0
2,game,5,pre,first,donkey,donkey,No . Where's the one-- donkey is in the middle,9,1,1,0,1,0,0,0
2,game,5,pre,first,donkey,donkey,Mhm !,1,0,0,0,0,0,0,0
2,game,5,post,first,donkey,donkey,Very good,2,0,0,0,0,0,0,0
2,game,5,post,first,donkey,NA,It made a sound for you !,6,0,0,0,0,0,0,0
2,game,6,pre,first,pig,pig,Where's the pig ?,3,0,1,0,1,0,0,0
2,game,6,pre,first,pig,pig,Mhm ! Push the pig,4,0,1,0,1,0,0,0
2,game,6,post,first,pig,pig,Very good . Oink oink oink !,5,0,0,3,0,0,0,0
2,game,7,pre,first,peacock,peacock,Where's the peacock ?,3,0,1,0,1,0,0,0
2,game,7,pre,first,peacock,peacock,"Mhm , do you know which one it is ?",8,0,0,0,0,0,0,0
2,game,7,pre,first,peacock,peacock,"No , not that !",3,0,0,0,0,0,0,0
2,game,7,post,first,peacock,peacock,"That's the raccoon , but that's OK",6,0,0,0,1,0,0,0
2,game,8,pre,first,cat,cat,Where's the cat ? Meow,4,0,1,1,1,0,0,0
2,game,8,post,first,cat,cat,Very good,2,0,0,0,0,0,0,0
2,game,9,pre,first,lobster,lobster,Where's the red lobster ?,4,1,1,0,1,0,0,0
2,game,9,pre,first,lobster,lobster,Which one is red ?,4,1,0,0,0,0,0,0
2,game,9,pre,first,lobster,lobster,"Very good , yyy",3,0,0,0,0,0,0,0
2,game,10,pre,second,cat,cat,Where is the cat ?,4,0,1,0,1,0,0,0
2,game,10,post,second,cat,cat,Good job,2,0,0,0,0,0,0,0
2,game,11,pre,first,raccoon,raccoon,Where is the raccoon ? The brown--yeah,6,1,1,0,2,0,0,0
2,game,11,post,first,raccoon,raccoon,"Mhm , very good",3,0,0,0,0,0,0,0
2,game,12,pre,first,horse,horse,Where's the horsey ?,3,0,1,0,1,0,0,0
2,game,12,post,first,horse,horse,Very good,2,0,0,0,0,0,0,0
2,game,13,pre,first,squirrel,squirrel,Where's the squirrel ?,3,0,1,0,1,0,0,0
2,game,13,pre,first,squirrel,squirrel,Mhm !,1,0,0,0,0,0,0,0
2,game,13,post,first,squirrel,squirrel,Good job !,2,0,0,0,0,0,0,0
2,game,14,pre,first,elephant,elephant,Where's the elephant ?,3,0,1,0,1,0,0,0
2,game,15,pre,second,raccoon,raccoon,Where's the raccoon ?,3,0,1,0,1,0,0,0
2,game,15,pre,second,raccoon,raccoon,"No , in the middle",4,0,0,0,0,0,0,0
2,game,15,pre,second,raccoon,raccoon,Mhm !,1,0,0,0,0,0,0,0
2,game,15,post,second,raccoon,raccoon,Good !,1,0,0,0,0,0,0,0
2,game,16,pre,second,pig,pig,Where's the pig ?,3,0,1,0,1,0,0,0
2,game,16,post,second,pig,pig,Oink oink oink,3,0,0,3,0,0,0,0
2,game,17,pre,first,swan,swan,OK now this is a -- which one do you think is the swan ? The swan is white,17,1,2,0,2,0,0,0
2,game,17,pre,first,swan,swan,Mhm !,1,0,0,0,0,0,0,0
2,game,17,post,first,swan,swan,Good job,2,0,0,0,0,0,0,0
2,game,18,pre,first,duck,duck,Where's the duckie ?,3,0,1,0,1,0,0,0
2,game,18,post,first,duck,duck,Quack quack quack !,3,0,0,3,0,0,0,0
2,game,19,pre,first,leopard,leopard,Where's the leopard ?,3,0,1,0,1,0,0,0
2,game,19,pre,first,leopard,leopard,Which one do you think that is ?,7,0,0,0,0,0,0,0
2,game,19,pre,first,leopard,leopard,"No , not in the middle . The one that's gold , that's yellow",11,3,0,0,1,0,0,0
2,game,19,pre,first,leopard,leopard,"No , not the white swan",5,1,0,0,1,0,0,0
2,game,19,pre,first,leopard,leopard,There's the leopard !,3,0,1,0,1,0,0,0
2,game,19,post,first,leopard,leopard,Roar !,1,0,0,1,0,0,0,0
2,game,20,pre,first,cow,cow,Where's the cow ?,3,0,1,0,1,0,0,0
2,game,20,pre,first,cow,cow,Mhm,1,0,0,0,0,0,0,0
2,game,20,post,first,cow,cow,That's the horsey,3,0,0,0,1,0,0,0
2,game,21,pre,first,rooster,rooster,Where is-- let's think about it first . Where's the rooster ?,10,0,1,0,1,0,0,0
