StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please select all of the words that your child understands, even if they may not be able to say it yet.

Check the box if your child responds appropriately to the word. For example, when you say ""Get the ball,"" they turn and try to find the ball."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}"
2018-04-11 08:17:56,2018-04-11 08:18:35,IP Address,128.135.98.118,100,38,True,2018-04-11 08:18:36,R_b8b7O5GQ2T1wO3L,,,benmorris@uchicago.edu,,41.780395507812,-87.602699279785,gl,EN,"ant,applesauce,dress,hammer,peacock,trash"
2018-04-17 11:57:25,2018-04-17 11:59:33,IP Address,73.51.164.59,100,128,True,2018-04-17 11:59:34,R_2Xmy3ZbIKdE9hTh,,,test@test.com,,41.922393798828,-87.652397155762,gl,EN,"airplane,ankle,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,cat,car,chin,comb,cow,cracker,dog,doll,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,friend,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,leg,light,lips,milk,mop,necklace,nose,oven,owl,peas,person,plate,rain,refrigerator,rhinoceros,shoe,sky,stairs,star,towel,trash,tree,water,window"
2018-04-11 10:25:46,2018-04-11 10:28:59,IP Address,128.135.98.118,50,193,False,2018-04-18 10:29:01,R_UT53NztlhaEV3pf,,,1234@1234,,,,gl,EN,
2018-04-24 10:10:30,2018-04-24 10:36:04,IP Address,172.58.143.75,100,1534,True,2018-04-24 10:36:05,R_2aEMiBzIlXaUjGI,,,test@test.com,,41.813003540039,-87.713401794434,gl,EN,"airplane,ankle,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,candy,cat,car,chin,cow,cracker,dog,doll,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,friend,game,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,juice,leg,light,lips,meat,milk,mittens,mop,napkin,necklace,nose,nuts,oven,owl,party,peas,person,plate,rain,refrigerator,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-04-24 13:23:58,2018-04-24 13:26:08,IP Address,98.206.160.108,100,130,True,2018-04-24 13:26:09,R_2CU75WE3tEEMjsB,,,test@test.com,,41.801406860352,-87.60050201416,gl,EN,"airplane,ankle,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,candy,cat,car,chin,comb,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,friend,game,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,jeans,juice,leg,leopard,light,lips,meat,milk,mittens,mop,napkin,necklace,nose,nuts,oven,owl,party,peacock,peas,person,plate,raccoon,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,swan,towel,trash,tree,water,window"
2018-04-25 14:52:47,2018-04-25 14:55:17,IP Address,50.202.171.182,100,150,True,2018-04-25 14:55:18,R_3exbWxhyWmuGEun,,,test@test.com,,41.813003540039,-87.65599822998,gl,EN,"airplane,applesauce,arm,ball,bear,bed,bird,boat,book,broom,candy,cat,car,chin,cow,cracker,dog,door,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,friend,glasses,gloves,grapes,hand,hat,horse,jacket,juice,leg,light,lips,milk,napkin,nose,owl,peas,plate,rain,refrigerator,shoe,stairs,star,towel,trash,tree,water,window"
2018-05-02 08:23:39,2018-05-02 08:26:47,IP Address,73.74.168.88,100,188,True,2018-05-02 08:26:48,R_22QhQBAhjasKj1r,,,test@test.com,,41.887603759766,-87.63680267334,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bird,boat,book,cat,car,chin,cow,cracker,dog,doll,door,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,glasses,grapes,hammer,hand,hat,helicopter,horse,jacket,juice,leg,leopard,light,lips,lobster,milk,mittens,mop,necklace,nose,oven,owl,party,peacock,peas,person,plate,raccoon,radio,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,swan,towel,trash,tree,water,window"
2018-05-04 08:15:34,2018-05-04 08:46:33,IP Address,128.135.98.210,100,1859,True,2018-05-04 08:46:35,R_57nwN99gjm41sYN,,,test@test.com,,41.780395507812,-87.602699279785,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,candy,cat,car,chin,comb,cow,cracker,dog,doll,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,game,glasses,gloves,grapes,hand,hat,helicopter,horse,jacket,jeans,juice,leg,light,lips,meat,milk,mittens,mop,napkin,necklace,nose,owl,party,peas,person,plate,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-05-06 07:39:02,2018-05-06 07:45:02,IP Address,73.246.79.136,100,360,True,2018-05-06 07:45:03,R_2CInGx37YLfdcqf,,,test@test.com,,41.97590637207,-87.701599121094,gl,EN,"airplane,ankle,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,candy,cat,car,chin,comb,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,friend,game,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,jeans,juice,leg,light,lips,meat,milk,mittens,mop,napkin,necklace,nose,nuts,oven,owl,party,peas,person,plate,radio,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-05-08 10:53:05,2018-05-08 11:07:45,IP Address,128.135.98.170,100,879,True,2018-05-08 11:07:45,R_2YD48TKShSvL7bK,,,test@test.com,,41.780395507812,-87.602699279785,gl,EN,"airplane,arm,ball,bed,bench,bird,boat,book,candy,cat,car,chin,comb,cow,cracker,dog,doll,door,dress,duck,ear,elephant,eye,finger,firetruck,fish,fork,game,glasses,gloves,hand,hat,helicopter,horse,jacket,jeans,juice,leg,light,lips,meat,milk,mittens,napkin,necklace,nose,oven,owl,party,peas,person,plate,radio,rain,refrigerator,school,shoe,sky,stairs,star,towel,trash,tree,water,window"
2018-05-08 18:57:31,2018-05-08 18:59:34,IP Address,67.163.29.215,100,123,True,2018-05-08 18:59:35,R_pL4fBhQOTJ4Z8jL,,,test@test.com,,42.007598876953,-87.695602416992,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,candy,cat,car,chin,comb,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,friend,game,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,jeans,juice,leg,light,lips,meat,milk,mittens,mop,napkin,necklace,nose,nuts,oven,owl,party,peas,person,plate,raccoon,radio,rain,refrigerator,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
