ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection,
0,18546,0,"Www",0,9504,0,"Touch the apple","apple","",
1,29434,0,"Www!",1,10593,0,"","","selects",
2,56805,0,"Oh!",2,11220,0,"Very good!","n/a","",
3,72501,0,"Doggie!",3,13167,0,"OK oh God, artichoke. That's this one.","artichoke","",
4,89100,0,"Ah",4,15774,0,"","","selects",
5,94149,0,"Doggie!",5,18909,0,"Let's touch the apple","apple","",
6,100122,0,"Ah!",6,20394,0,"","","selects",
7,111375,0,"Oh",7,21124,0,"OK","n/a","",
8,113552,0,"Um, this",8,23199,0,"Xxx artichoke is the--","artichoke","",
9,116688,0,"Cat!",9,24552,0,"","","selects",
10,121473,0,"Www!",10,24552,0,"Yes","n/a","",
11,125796,0,"Um, here!",11,25476,0,"Oh very good!","n/a","",
12,130680,0,"Uh, right there!",12,26169,0,"Xxx","n/a","",
13,142164,0,"Www! Www!",13,30756,0,"Wait a minute","n/a","",
14,144309,0,"Ah! Right there!",14,38288,0,"Which one's the rhinoceros? You know what that is?","rhinoceros","",
15,149523,0,"Umm, right there",15,40986,0,"That's the lobster","n/a","",
16,161007,0,"Www!",16,44187,0,"","","selects",
17,165198,0,"Uhh, there",17,46992,0,"Horse. Touch the horse","horse","",
18,171567,0,"Uhh, right there",18,48729,0,"","","selects",
19,190971,0,"Www! Raccoon!",19,51777,0,"OK squirrel. You know which one's the squirrel?","squirrel","",
20,193842,0,"No",20,53790,0,"","","selects",
21,196680,0,"Right there",21,54318,0,"No that's the raccoon","n/a","",
22,201036,0,"Ah",22,57479,0,"Horse","horse","",
23,203940,0,"Uh",23,58938,0,"","","selects",
24,206646,0,"Ah! A doggie!",24,61479,0,"Rooster","rooster","",
25,209946,0,"No!",25,63393,0,"","","selects",
26,214335,0,"Www",26,64152,0,"Very good","n/a","",
27,225390,0,"Yes! Www?",27,66660,0,"Cat. Which one's the cat?","cat","",
28,232815,0,"Www?",28,69465,0,"","","selects",
29,244530,0,"Www",29,72831,0,"Rooster","rooster","",
30,250074,0,"Ooh!",30,74481,0,"","","selects",
31,253440,0,"Uhh, right there!",31,76593,0,"Xxx","n/a","",
32,259908,0,"Uhh, right there!",32,78045,0,"Duck! Quack quack quack","duck","",
