ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection,
0,133815,0,"Www",0,42325,0,"Can you touch the apple? Where's the apple?","apple","",
1,145860,0,"Quack",1,46819,0,"","","",
2,153351,0,"Www!",2,47489,0,"Excellent","n/a","",
3,170049,0,"Www!",3,50704,0,"Now, how about the artichoke? The green one. The dark green one. Can you touch the dark green?","artichoke","",
4,185394,0,"Hee-haw",4,58870,0,"Can you tell? That's asparagus","artichoke","",
5,190575,0,"Www!",5,60609,0,"","","selects",
6,211926,0,"Www!",6,64134,0,"Now apple","apple","",
7,231198,0,"Www!",7,69065,0,"","","selects",
8,237996,0,"Moo!",8,72410,0,"Now artichoke. Very good, that's the artichoke!","artichoke","",
9,261954,0,"Www!",9,76482,0,"","","selects",
10,271227,0,"Www",10,78348,0,"Excellent! Do you remember that was the asparagus?","n/a","",
11,286242,0,"Www",11,81763,0,"OK good job we're gonna do some more!","n/a","",
12,297990,0,"Www!",12,88680,0,"Now we wanna touch the peacock! Where's the peacock?","peacock","",
13,308319,0,"Tweet tweet",13,92702,0,"","","selects",
14,310563,0,"",14,93201,0,"Excellent!","n/a","",
15,313038,0,"Water!",15,96915,0,"Now we want the duck! Which one's the duck?","duck","",
16,316635,0,"Sink! Sink!",16,99780,0,"","","selects",
17,320892,0,"Water",17,100770,0,"Woah, he quacked at us!","n/a","",
18,335214,0,"Www",18,104180,0,"Now the swan! Do you remember which one's the swan?","swan","",
19,337747,0,"Www",19,106280,0,"","","selects",
20,339867,0,"Www",20,107395,0,"Very good!","n/a","",
21,341550,0,"Www! Www!",21,110834,0,"And the horse! Where's that horse?","horse","",
22,343266,0,"Www! Www! Www!",22,112843,0,"","","selects",
23,349597,0,"Www! Www!",23,114111,0,"Very good!","n/a","",
,,,,24,115971,0,"Oh my, he neighed at us!","n/a","",
,,,,25,118445,0,"Now the rhinoceros! Do you remember what the rhinoceros looks like?","rhinoceros","",
,,,,26,121826,0,"","","selects",
,,,,27,122691,0,"Very good!","n/a","",
,,,,28,125452,0,"Doggie. Where's the dog?","dog","",
,,,,29,128953,0,"","","selects",
,,,,30,129364,0,"Awesome! Woah. He barked at us!","n/a","",
,,,,31,133803,0,"Leopard! Where's the leopard?","leopard","",
,,,,32,136094,0,"","","selects",
,,,,33,137616,0,"Oh my, he growled at us!","n/a","",
,,,,34,140527,0,"Now a duck again! Can you touch the duck?","duck","",
,,,,35,142942,0,"","","selects",
,,,,36,148275,0,"Rhinoceros again! Where's that rhino?","rhinoceros","",
,,,,37,150711,0,"","","selects",
,,,,38,152298,0,"Very good!","n/a","",
,,,,39,153998,0,"[laughter]","n/a","",
,,,,40,155733,0,"Now the cow! Can you point to the cow?","cow","",
,,,,41,159420,0,"","","selects",
,,,,42,159652,0,"Very good! Moo","n/a","",
,,,,43,163435,0,"Swan again. Where's the swan?","swan","",
,,,,44,165611,0,"","","selects",
,,,,45,168462,0,"Excellent!","n/a","",
,,,,46,170083,0,"Is it making a noise?","n/a","",
,,,,47,172139,0,"Can you do the cat? Where's the cat?","cat","",
,,,,48,174281,0,"","","selects",
,,,,49,175212,0,"Meow!","n/a","",
,,,,50,179089,0,"Donkey. Can you touch the donkey?","donkey","",
,,,,51,182450,0,"There he is!","donkey","",
,,,,52,182467,0,"","","selects",
,,,,53,185127,0,"Hee-haw!","n/a","",
,,,,54,186863,0,"The doggie again","dog","",
,,,,55,189025,0,"","","selects",
,,,,56,190175,0,"Woah","n/a","",
,,,,57,191544,0,"It's barking barking!","n/a","",
,,,,58,193682,0,"Raccoon! Can you touch the raccoon?","raccoon","",
,,,,59,195480,0,"","","selects",
,,,,60,197056,0,"Ooh! He xxx!","n/a","",
,,,,61,200106,0,"And the piggie. Can you touch the pig?","pig","",
,,,,62,202675,0,"","","selects",
,,,,63,207167,0,"Now peacock","peacock","",
,,,,64,209090,0,"","","selects",
,,,,65,210207,0,"Very good!","n/a","",
,,,,66,212927,0,"He makes a funny noise!","n/a","",
,,,,67,214356,0,"How about the cat? Can you touch the cat?","cat","",
,,,,68,218859,0,"Oop, try to touch right in the middle","cat","",
,,,,69,220088,0,"","","selects",
,,,,70,220614,0,"Very good!","n/a","",
,,,,71,224701,0,"Rooster! Can you touch the rooster?","rooster","",
,,,,72,226656,0,"","","selects",
,,,,73,227569,0,"Oh my goodness! Have you heard that before?","n/a","",
,,,,74,231599,0,"Very good!","n/a","",
,,,,75,233152,0,"And the cow. Can you touch the cow?","cow","",
,,,,76,234727,0,"","","selects",
,,,,77,236618,0,"Moo","n/a","",
,,,,78,238629,0,"Now the squirrel! Can you point to the squirrel?","squirrel","",
,,,,79,240895,0,"","","selects",
,,,,80,245482,0,"Elephant. Can you touch the elephant?","elephant","",
,,,,81,247369,0,"","","selects",
,,,,82,248517,0,"Excellent!","n/a","",
,,,,83,251459,0,"Leopard","leopard","",
,,,,84,252837,0,"","","selects",
,,,,85,253552,0,"Very good!","n/a","",
,,,,86,257053,0,"Funny noise!","n/a","",
,,,,87,257851,0,"Now the fish! Can you touch the fish?","fish","",
,,,,88,260114,0,"","","selects",
,,,,89,260857,0,"Uh-huh!","n/a","",
,,,,90,263213,0,"Did you hear water?","n/a","",
,,,,91,264914,0,"Rooster! Can you touch the rooster again?","rooster","",
,,,,92,267300,0,"","","selects",
,,,,93,269779,0,"Very good","n/a","",
,,,,94,272536,0,"Now we want the elephant! What noise does the elephant make?","elephant","",
,,,,95,275941,0,"","","selects",
,,,,96,276540,0,"Very good! That's a loud one","n/a","",
,,,,97,280129,0,"Now the squirrel again","squirrel","",
,,,,98,282485,0,"","","selects",
,,,,99,283999,0,"Excellent!","n/a","",
,,,,100,286795,0,"Now fish! Try to touch the fish with your hand!","fish","",
,,,,101,289650,0,"","","selects",
,,,,102,290924,0,"There you go!","n/a","",
,,,,103,293960,0,"And donkey","donkey","",
,,,,104,295636,0,"","","selects",
,,,,105,296762,0,"Hee-haw!","n/a","",
,,,,106,300401,0,"Now a bird! You haven't got to touch the bird before. Can you touch the bird?","bird","",
,,,,107,304251,0,"","","selects",
,,,,108,305184,0,"Tweet tweet!","n/a","",
,,,,109,308399,0,"Now lobster! That's a new one, too!","lobster","",
,,,,110,311604,0,"","","selects",
,,,,111,312293,0,"Excellent!","n/a","",
,,,,112,313875,0,"Lobster","n/a","",
,,,,113,316169,0,"And the pig!","pig","",
,,,,114,318559,0,"The sink? Can you do the piggie again?","pig","",
,,,,115,321821,0,"Oh, the water's in the sink? Can you touch the piggie? Where's the piggie?","pig","",
,,,,116,326941,0,"","","selects",
,,,,117,327227,0,"Very good","n/a","",
,,,,118,331719,0,"Raccoon","raccoon","",
,,,,119,333295,0,"","","selects",
,,,,120,334782,0,"Excellent!","n/a","",
,,,,121,336736,0,"Oh, and horse! Can you do horse again?","horse","",
,,,,122,340562,0,"Can we hear the horse?","horse","",
,,,,123,342082,0,"","","selects",
,,,,124,344713,0,"Www?","n/a","",
,,,,125,347600,0,"Lobster? Can you touch the lobster?","lobster","",
,,,,126,350197,0,"","","selects",
