ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,104074,0,Uh!,0,100643,0,OK don't touch. Can you choose the apple?,apple,
1,111350,0,I pressed it!,1,105060,0,"Choose it! Go ahead, press it!",apple,
2,187579,0,,2,108800,0,,,selects
3,201586,0,Yeah!,3,109038,0,Good job!,n/a,
4,214642,0,Yeah!,4,112302,0,Yep! Do you what artichoke is? You know which one that is?,artichoke,
5,244426,0,Yeah!,5,116122,0,Yeah! Go ahead!,artichoke,
6,257516,0,"Yeah, swan",6,117504,0,,,selects
7,271830,0,Peacock!,7,117538,0,Good job!,n/a,
8,286926,0,Yeah!,8,119476,0,Don't touch yet,n/a,
9,313684,0,Yeah,9,121312,0,Do you remember the apple?,apple,
10,318206,0,Yeah. Raccoon,10,124340,0,"Yeah, go ahead",apple,
11,333880,0,"Yeah, squirrel",11,125766,126343,,,selects
12,348398,0,"Yeah, leopard!",12,125818,0,Good job!,n/a,
13,363936,0,Lobster,13,128775,0,"Do you remember the artichoke, or was that a lucky guess?",artichoke,
14,378284,0,Leopard!,14,133144,0,,,selects
15,394366,0,Cock-a-doodle-doo!,15,133416,0,That's an onion. That's ok that's a tough one.,n/a,
16,400282,0,Meow meow!,16,139725,0,K. Ready? Next set? Ready? This is fun?,n/a,
,,,,17,143665,0,"OK. Don't touch until I tell you, OK?",n/a,
,,,,18,149236,0,"Oh, we got some animals!",n/a,
,,,,19,150178,0,Can you show me the peacock?,peacock,
,,,,20,153822,0,"Yeah, go ahead!",peacock,
,,,,21,154632,0,,,selects
,,,,22,155167,0,Good! Did it make a sound?!,n/a,
,,,,23,158848,0,OK hold on. Where's the horsey?,horse,
,,,,24,161908,0,,,selects
,,,,25,162255,0,"No. OK. That's a cow. That's OK, they're similar",n/a,
,,,,26,166396,0,"OK, hold on. Where's the donkey?",donkey,
,,,,27,169660,0,,,selects
,,,,28,173685,0,OK hold on. You know this one. Ready?,n/a,
,,,,29,175610,0,Where's the piggie? What sound does the piggie make?,pig,
,,,,30,178466,0,,,selects
,,,,31,178602,0,"Oh, you got it! Good job!",n/a,
,,,,32,182240,0,"OK, do you know where the squirrel is? Squirrel?",squirrel,
,,,,33,184994,0,,,selects
,,,,34,188003,0,"Yeah, that's OK!",n/a,
,,,,35,188886,0,"Oh wait, hold on. Doggie. Roof roof!",dog,
,,,,36,192100,0,,,selects
,,,,37,192610,0,Good job,n/a,
,,,,38,196197,0,"OK, now where's the rhinoceros?",rhinoceros,
,,,,39,198730,0,,,selects
,,,,40,200838,0,You silly,n/a,
,,,,41,202980,0,OK hold on. Elephant?,elephant,
,,,,42,205292,0,,,selects
,,,,43,206006,0,"I think you're going too fast, OK? You gotta listen to what Mommy's saying.",n/a,
,,,,44,209984,0,Rhinoceros. Now think about it,rhinoceros,
,,,,45,212704,0,,,selects
,,,,46,215390,0,That's a donkey,n/a,
,,,,47,216240,0,OK slow. Do you know what an elephant is?,elephant,
,,,,48,220286,0,,,selects
,,,,49,220694,0,Good job,n/a,
,,,,50,223924,0,Good job. OK. This one you haven't had before. Lobster.,lobster,
,,,,51,227800,0,,,selects
,,,,52,228412,0,Good job!,n/a,
,,,,53,231809,0,OK ready? Birdie! Tweet tweet!,bird,
,,,,54,234940,0,,,selects
,,,,55,235858,0,Good!,bird,
,,,,56,239054,0,Ready? Cock-a-doodle-doo!,rooster,
,,,,57,241264,0,,,selects
,,,,58,242726,0,That's a swan!,n/a,
,,,,59,244494,0,Yeah that was a rooster.,n/a,
,,,,60,245990,0,Ready? Birdie! Where's the birdie?,bird,
,,,,61,248880,0,,,selects
,,,,62,249492,0,Good job,n/a,
,,,,63,252586,0,"Oh, you know what a leopard is?",leopard,
,,,,64,254898,0,,,selects
,,,,65,256632,0,That's a swan,n/a,
